TIME/CODE,ENGLISH TRANSLATION,"AFRIKAANS/KHOEKHOEGOWAB/
N|UU TRANSCRIPTION",COMMENTS
00:01:22,"OS (Petrus): Yes look, Mother, Mother speaks the thing that Grandmother (speaks) well. Now help Mother. Now you (plural) must help Mother. Now, Grandmother how do you feel about standing alongside Mother? I still have to come back and recall the names and recall the people.","OS (Petrus):   <afr>Ja kyk, Ma, Ma praat die ding wat Ouma-goed (praat). Nou vir Ma help. Nou moet julle vir Ma help. Nou hoe voel Ouma om vir Ma by te staan? Ek moet nog terugkom en die namekom vat, en die koppe kom vat.</afr>",Petrus is asking Katriena for assistance in an upcoming interview. He is asking how she feels about serving in a supportive capacity during the interview by using their language (N|uu or Nama) with Mother. He wants their help to backtrack and recall more names and identify more people.
00:01:33,Katriena: I cannot say that I will stand alongside her because I don’t know how long …,Katriena:   <afr>Ek kan nie sê ek sal hom by staan nie want ek weet nie hoe lank …</afr>,
00:01:36,Katriena: How long….,Katriena:  <nam>Matikose ||ae I… </nam>,"Khoekhoegowab, Niklaas transcribed and translated."
00:01:37,"OS (Petrus): That’s it, that is truly the thing.","OS (Petrus):  <afr>Dis hy, dis eintlik die ding.</afr>",
00:01:38,Katriena: God will keep me alive. I don’t know.,Katriena:  <nam>Elob xa ni sâu-e ǃkhai-e ta |u.</nam>,"Khoekhoegowab, Niklaas transcribed and translated."
00:01:39,"OS (Petrus): No, now those are Mother’s fears.","OS (Petrus):  <afr>Aa, nou dis Ma se vrese.</afr>",
00:01:41,Katriena: Yes.,Katriena:  <afr>Ja.</afr>,
00:01:41,OS (Petrus): How long?,OS (Petrus):  <afr>Hoe lank?</afr>,
00:01:42,Katriena: Yes.,Katriena: . <afr>Ja</afr>,
00:01:43,OS (Petrus): And Grandmother can maybe still say that little bit.,OS (Petrus):  <afr>En Ouma kan nog miskien daai bietjie gee.</afr>,
00:01:45,Katriena: Yes.,Katriena:  <afr>Ja.</afr>,
00:01:45,OS (Petrus): For the children. ,OS (Petrus):  <afr>Vir die kinders. </afr>,
00:01:46,Katriena: Yes.,Katriena:  <afr>Aha.</afr>,
00:01:46,OS (Petrus): That little bit of language and to tell them how to do it – the people.,OS (Petrus):  <afr>Daai bietjie taal en vir hulle sê hoe moet hulle maak – die mense.</afr>,
00:01:51,"Katriena: Thus, let them who are alive take the land, those who will live longer, children. Let me be strong to help the children.","Katriena:  <nam>Xuige an ||în ûitsamana ǃhuba u, ||în ûitsama se nî sâu-e nâ, |gôana. Īs |gaima tsî hui |gôana.</nam>",
00:02:02,Katriena: That is all that I want to say.,Katriena:  <afr>Dis al wat ek will sê.</afr>,
00:02:04,OS (Petrus): Yes,OS (Petrus):  <afr>Aha.</afr>,
00:02:05,END,,
