Disk no.: 1 - 1997 ,Disk no.: 1 - 1997 ,"Subject:  The Language 
Rosedale, Upington, A. Kassie, G. Seekooi","Subject:  The Language 
Rosedale, Upington, A. Kassie, G. Seekooi",Date recorded: 13 Nov 1997 
Translations coordinator: Louie Ettling ,Translations coordinator: Louie Ettling ,Task: English translation of Afrikaans transcription ,Task: English translation of Afrikaans transcription ,Date returned: 10 Dec 2008 
Translator:LeviNamaseb,Translator:LeviNamaseb,Task:Khoekhoegowab (Nama) and N|uu transcriptions with English translations,Task:Khoekhoegowab (Nama) and N|uu transcriptions with English translations,Date returned: not specified
Editing coordinator:Kerry Jones (African Tongue) ,Editing coordinator:Kerry Jones (African Tongue) ,"Task:Editing, proofing and combination of all languages transcribed and translated into one text file","Task:Editing, proofing and combination of all languages transcribed and translated into one text file",Date edited:June 2015
Translator: Francoise Steyn (Betta),Translator: Francoise Steyn (Betta),Task: Editing of Afrikaans transcriptions and corresponding English translations,Task: Editing of Afrikaans transcriptions and corresponding English translations,Date edited:June 2015
Translator: Niklaas Fredericks ,Translator: Niklaas Fredericks ,Task: Editing of Khoekhoegowab (Nama) transcriptions and corresponding English translations,Task: Editing of Khoekhoegowab (Nama) transcriptions and corresponding English translations,Date edited: July 2015
TIME/CODE ,ENGLISH TRANSLATION ,ENGLISH TRANSLATION ,AFRIKAANS/KHOEKHOEGOWAB/N|UU TRANSCRIPTION ,COMMENTS 
" Note: Colour coding for transcriptions: green text is N|uu, blue is Afrikaans, red is Khoekhoegowab (Nama) and black is English."
00:00:50 ,3 OS 3: Witbooi.,3 $Witbooi.,
00:00:51 ,"Katriena Katriena: Witbooi, the surname I was born with. My Father’s home-surname (diminutive) is Witbooi.","Katriena $Witbooi, geboorte van. My Pa se huisievan is Witbooi.",
00:00:55 ,3 OS 3: Witbooi.,3 $Witbooi.,
00:00:56 ,Katriena Katriena: Yes.,Katriena $Ja.,
00:00:56 ,Petrus OS (Petrus): Married?,Petrus $Getroud?,
00:00:57 ,"Katriena Katriena: Yes, my Father …","Katriena $Ja, my Pa …",
00:00:59 ,Petrus OS (Petrus): Married?,Petrus $Getroud?,
00:01:00 ,"Katriena Katriena: My Mother, my 
Father is … Lena Witbooi and my Father is Hendrik Witbooi and I am Kartriena Witbooi.","Katriena $My Ma en my Pa is … Lena Witbooi en my Pa is Hendrik Witbooi en ek is Katriena Witbooi.  
",
00:01:08 ,2 OS 2: And Married surname?,2 $En getroude van?,
00:01:09 ,Petrus OS (Petrus): And married surname?,Petrus $En getroude van?,
00:01:09 ,2 OS 2: Hansen?,2 $Hansen?,"Pronounced Hansen but could be 
referring to the "
,,,family name ǂHanasen 
00:01:10 ,Katriena Katriena: Hansen.,Katriena $Hansen.,
00:01:11 ,Petrus OS (Petrus): Hansen?,Petrus $Hansen?,
00:01:12 ,"Katriena Katriena:Yes, Thomas Hansen.","Katriena $Ja, Thomas Hansen.",
00:01:14 ,Petrus OS (Petrus): Thomas Hansen,Petrus $Thomas Hansen,
00:01:14 ,Petrus OS (Petrus): There it is! That’s how I want it.,Petrus $Daarsy! Dis soos ek hom wil hê.,
00:01:17 ,Petrus OS (Petrus): Now what must I say for Mother? Grandmother must really say something? How should I do it?,Petrus $Nou hoe moet ek vir Ma loop sê? Ouma moet darem iets sê? Hoe moet ek maak?,
00:01:21 ,Katriena Katriena: Speak like that for Mother?,Katriena $Ma wat ek so sê?,
00:01:22 ,"Petrus OS (Petrus): Yes look, Mother, Mother speaks the thing that Grandmother (speaks) well. Now help Mother. Now you 
(plural) must help Mother.  Now, Grandmother how do you feel about standing 
alongside Mother? I still have to come back and recall the names and recall the people.","Petrus $Ja kyk, Ma, Ma praat die ding wat Ouma-goed (praat). Nou vir Ma help. Nou moet julle vir Ma help. Nou hoe voel Ouma om vir Ma by te staan? Ek moet nog terugkom en die namekom vat, en die koppe kom vat. 

","Petrus is asking 
Katriena for 
assistance in an 
upcoming interview. He is asking how 
she feels about 
serving in a 
supportive capacity during the interview by using their 
language (N|uu or Nama) with Mother. He wants their help to backtrack and 
recall more names and identify more 
people."
00:01:33 ,Katriena Katriena: I cannot say that I will stand alongside her  because I don’t know how long  …,Katriena $Ek kan nie sê ek sal hom by staan nie want ek weet  $nie hoe lank …,
00:01:36 ,Katriena Katriena: How long….,Katriena +Matikose  ||ae I… ,"Khoekhoegowab, Niklaas transcribed and translated."
00:01:37 ,"Petrus OS (Petrus): That’s it, that is truly the thing.","Petrus $Dis hy, dis eintlik die ding.",
00:01:38 ,Katriena Katriena: God will keep me alive. I don’t know.,Katriena +Elob xa ni sâu-e ǃkhai-e ta |u.,"Khoekhoegowab, Niklaas transcribed and translated."
00:01:39 ,"Petrus OS (Petrus): No, now those are Mother’s fears.","Petrus $Aa, nou dis Ma se vrese.",
00:01:41 ,Katriena Katriena: Yes.,Katriena $Ja.,
00:01:41 ,Petrus OS (Petrus): How long?,Petrus $Hoe lank?,
00:01:42 ,Katriena Katriena: Yes.,Katriena $Ja . ,
00:01:43 ,"Petrus OS (Petrus): And 
Grandmother can maybe still say that little bit.",Petrus $En Ouma kan nog miskien daai bietjie gee.,
00:01:45 ,Katriena Katriena: Yes.,Katriena $Ja.,
00:01:45 ,Petrus OS (Petrus): For the children. ,Petrus $Vir die kinders. ,
00:01:46 ,Katriena Katriena: Yes.,Katriena $Aha.,
00:01:46 ,Petrus OS (Petrus): That little bit of language and to tell them how to do it – the people.,Petrus $Daai bietjie taal en vir hulle sê hoe moet hulle maak – die mense.,
00:01:51 ,"Katriena Katriena: Thus, let them who are alive take the land, those ","Katriena Katriena: +Xuige an ||în ûitsamana ǃhuba u, ||în ",
,"who will live longer, children. Let me be strong to help the children.","+ûitsama se nî sâu-e nâ, |gôana. Īs |gaima tsî hui |gôana.",
00:02:02 ,Katriena Katriena: That is all that I want to say.,Katriena $Dis al wat ek will sê.,
00:02:04 ,Petrus OS (Petrus): Yes,Petrus $Aha.,
00:02:05 ,END,,
